"x","parm_id","emmean.ols","SE.ols","df.ols","asymp.LCL.ols","asymp.UCL.ols","emmean.pca","SE.pca","df.pca","asymp.LCL.pca","asymp.UCL.pca"
1,"F",-0.682177264458862,0.0587252259027651,Inf,-0.797276592212261,-0.567077936705464,0.315519229101009,0.0690735269987547,Inf,0.180137603898295,0.450900854303723
1.5,"F",-0.650706501514163,0.0582225027995563,Inf,-0.764820510091076,-0.53659249293725,0.295458900385647,0.0685277813454477,Inf,0.161146917008134,0.42977088376316
2,"F",-0.619235738569464,0.0577444981672834,Inf,-0.732412875282678,-0.506058601856249,0.275398571670285,0.0680092101198131,Inf,0.142102969218434,0.408694174122136
2.5,"F",-0.587764975624764,0.0572918307123447,Inf,-0.700054900429326,-0.475475050820203,0.255338242954923,0.0675184394593204,Inf,0.123004533322307,0.387671952587539
3,"F",-0.556294212680065,0.0568651055181123,Inf,-0.667747771472635,-0.444840653887495,0.235277914239561,0.0670560797678521,Inf,0.103850412950126,0.366705415528996
3.5,"F",-0.524823449735366,0.0564649107520204,Inf,-0.635492641199594,-0.414154258271137,0.215217585524199,0.0666227225618466,Inf,0.0846394487509751,0.345795722297422
4,"F",-0.493352686790666,0.0560918142719126,Inf,-0.603290622591125,-0.383414750990208,0.195157256808836,0.0662189372474569,Inf,0.0653705247093029,0.32494398890837
4.5,"F",-0.461881923845967,0.0557463601666454,Inf,-0.57114278204179,-0.352621065650144,0.175096928093474,0.0658452678612678,Inf,0.0460425745329967,0.304151281653952
5,"F",-0.430411160901267,0.0554290652706455,Inf,-0.539050132528452,-0.321772189274082,0.155036599378112,0.0655022298106804,Inf,0.0266545880421128,0.283418610714112
5.5,"F",-0.398940397956568,0.055140415696285,Inf,-0.507013626813854,-0.290867169099282,0.13497627066275,0.0651903066531357,Inf,0.00720561748148221,0.262746923844018
6,"F",-0.367469635011869,0.0548808634313844,Inf,-0.475034150777844,-0.259905119245894,0.114915941947388,0.0649099469557492,Inf,-0.0123052163242857,0.242137100219062
6.5,"F",-0.335998872067169,0.0546508230516515,Inf,-0.443112516973878,-0.228885227160461,0.0948556132320258,0.0646615612785223,Inf,-0.0318787180580075,0.221589944522059
7,"F",-0.30452810912247,0.0544506685992477,Inf,-0.411249458511122,-0.197806759733819,0.0747952845166638,0.0644455193249586,Inf,-0.0515156123252351,0.201106181358563
7.5,"F",-0.273057346177771,0.0542807306787665,Inf,-0.379445623362672,-0.16666906899287,0.0547349558013017,0.0642621473035312,Inf,-0.0712165384828273,0.180686450085431
8,"F",-0.241586583233071,0.0541412938206133,Inf,-0.347701569197874,-0.135471597268268,0.0346746270859395,0.0641117255419592,Inf,-0.090982045963017,0.160331300134896
8.5,"F",-0.210115820288372,0.0540325941590138,Inf,-0.316017758831308,-0.104213881745436,0.0146142983705774,0.063994486393625,Inf,-0.110812590170066,0.140041186911221
9,"F",-0.178645057343673,0.0539548174676637,Inf,-0.284394556372726,-0.0728955583146191,-0.00544603034478469,0.0639106124717158,Inf,-0.130708529019244,0.119816468329675
